"arquivo1","arquivo2","total1","total2","diferen̤a"

"201510.zip";"201510.zip";117112;129750;12638
"202011.zip";"202011.zip";153441;194635;41194
"201810.zip";"201810.zip";113608;132315;18707
"201511.zip";"201511.zip";119101;130510;11409
"202004.zip";"202004.zip";140699;172665;31966
"201710.zip";"201710.zip";115583;136362;20779
"201407.zip";"201407.zip";135249;145731;10482
"201509.zip";"201509.zip";100539;112481;11942
"202007.zip";"202007.zip";110604;144670;34066
"201608.zip";"201608.zip";104131;112971;8840
"201912.zip";"201912.zip";141431;185989;44558
"201709.zip";"201709.zip";139077;158438;19361
"202008.zip";"202008.zip";106457;153108;46651
"201901.zip";"201901.zip";57118;62613;5495
"201607.zip";"201607.zip";186090;202978;16888
"201504.zip";"201504.zip";86795;95076;8281
"201409.zip";"201409.zip";104814;107829;3015
"201702.zip";"201702.zip";87036;112827;25791
"201902.zip";"201902.zip";74790;92562;17772
"201405.zip";"201405.zip";146336;153674;7338
"201503.zip";"201503.zip";65489;68290;2801
"201805.zip";"201805.zip";181007;198743;17736
"201802.zip";"201802.zip";75341;97271;21930
"201609.zip";"201609.zip";97457;113989;16532
"201808.zip";"201808.zip";125752;143511;17759
"201803.zip";"201803.zip";120826;138274;17448
"201403.zip";"201403.zip";77157;80155;2998
"201501.zip";"201501.zip";84657;95261;10604
"201704.zip";"201704.zip";94821;112303;17482
"201807.zip";"201807.zip";107117;125069;17952
"201602.zip";"201602.zip";79929;88011;8082
"201908.zip";"201908.zip";116004;134934;18930
"201512.zip";"201512.zip";176417;197340;20923
"202009.zip";"202009.zip";98874;136576;37702
"201408.zip";"201408.zip";134428;149132;14704
"201705.zip";"201705.zip";93300;111311;18011
"201909.zip";"201909.zip";162380;180697;18317
"201707.zip";"201707.zip";101325;119361;18036
"201907.zip";"201907.zip";90240;109946;19706
"201904.zip";"201904.zip";160903;178965;18062
"201706.zip";"201706.zip";173208;194769;21561
"201507.zip";"201507.zip";105708;120201;14493
"202005.zip";"202005.zip";92637;123545;30908
"201905.zip";"201905.zip";100343;118316;17973
"201605.zip";"201605.zip";95804;107506;11702
"201506.zip";"201506.zip";102947;107295;4348
"201601.zip";"201601.zip";99880;119998;20118
"201712.zip";"201712.zip";259775;311892;52117
"201404.zip";"201404.zip";169906;179457;9551
"201411.zip";"201411.zip";99523;115791;16268
"201812.zip";"201812.zip";124753;160804;36051
"201505.zip";"201505.zip";91837;101450;9613
"201502.zip";"201502.zip";160534;163719;3185
"202001.zip";"202001.zip";62613;66368;3755
"201410.zip";"201410.zip";100806;117440;16634
"201711.zip";"201711.zip";100364;120403;20039
"201406.zip";"201406.zip";76151;84313;8162
"201604.zip";"201604.zip";110345;125886;15541
"201701.zip";"201701.zip";72448;85004;12556
"201703.zip";"201703.zip";105372;124339;18967
"202003.zip";"202003.zip";169893;211314;41421
"201610.zip";"201610.zip";94063;110494;16431
"201402.zip";"201402.zip";80691;90483;9792
"201611.zip";"201611.zip";92088;113908;21820
"202002.zip";"202002.zip";57590;87425;29835
"201811.zip";"201811.zip";93345;108364;15019
"201806.zip";"201806.zip";101673;119361;17688
"201906.zip";"201906.zip";84019;102079;18060
"201708.zip";"201708.zip";86370;105263;18893
"201401.zip";"201401.zip";76532;81667;5135
"201801.zip";"201801.zip";55113;55208;95
"201508.zip";"201508.zip";98814;104222;5408
"201612.zip";"201612.zip";262122;303610;41488
"201910.zip";"201910.zip";108620;129728;21108
"201911.zip";"201911.zip";106876;112742;5866
"201603.zip";"201603.zip";94089;104851;10762
"201809.zip";"201809.zip";193721;211448;17727
"201804.zip";"201804.zip";121661;139952;18291
"201412.zip";"201412.zip";96081;114881;18800
"201903.zip";"201903.zip";69991;88175;18184
"202006.zip";"202006.zip";87085;118046;30961
"202012.zip";"202012.zip";125139;225899;100760
"202010.zip";"202010.zip";128710;163743;35033
"201606.zip";"201606.zip";95907;108867;12960